% comments:
% any line started with '%' - flag can be specified as generic in file_reader_hex
anything less than
length of a line
containing data
is also considered
as a comment

% interpreter ignores empty lines as well

% "@" is used to indicate counters for transmission start
% flag can be specified as generic in AV_ST_sender
% must be decimal numbers in increasing order!

%ICMP request
% IP header starting wit 4500
% xxxx 0003c 2f46 0000
% 8001 0000
% IP src = c0a8 0063 (192.168.0.99)
% IP dst = c0a8 001e (192.168.0.30)

PING request: not
@ 60
4500 003c 2f46 0000
8001 0000 c0a8 0065
c0a8 001e 0800 4d53
0001 0008 0862 6364
6566 6768 696a 6b6c
6d6e 6f70 7172 7374
7576 7761 6263 6465
6667 6869 0000 0000 110 0

% complete packet
% with empty flag end error flag


PING request:
@ 140
4500 003c 2f46 0000
8001 0000 c0a8 0067
c0a8 001e 0800 4d53
0001 0008 6162 6364
6566 6768 696a 6b6c
6d6e 6f70 7172 7374
7576 7761 6263 6465
6667 6869 0000 0000 110 0

PING request:
@ 160
4500 003c 2f46 0000
8001 0000 c0a8 0068
c0a8 001e 0800 4d53
0001 0008 6162 6364
6566 6768 696a 6b6c
6d6e 6f70 7172 7374
7576 7761 6263 6465
6667 6869 0000 0000 110 0

PING request:
@ 200
4500 003c 2f46 0000
8001 0000 c0a8 0269
c0a8 001e 0800 4d53
0001 0008 6162 6364
6566 6768 696a 6b6c
6d6e 6f70 7172 7374
7576 7761 6263 6465
6667 6869 0000 0000 110 0
