@46
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0064 C0A8
001E A192 0002 0044
0000 0809 1011 1213
1234 1234 1234 2345
2345 2345 2345 3456
3456 3456 3456 4567
4567 4567 4567 5678
5678 5678 5678 6789
6789 6789 6789 7890
7890 7890 7890 7890 100 1
% Packet number 1 ended at time 403200 ps

@66
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0065 C0A8
001E 0800 4D53 0001
0008 0862 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 2 ended at time 518400 ps

@87
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0061 C0A8
001E A192 0001 000C
0000 1000 0001 000C 100 1
% Packet number 3 ended at time 620800 ps

@106
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0066 C0A8
001E A192 0002 000C
0000 1000 0001 0000
0000 0000 0000 0000
0000 0000 FC52 0000 100 0
% Packet number 4 ended at time 755200 ps

@126
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 8D4C 5E60 C0A8
001E A19F 0001 0035
0000 0809 1011 1213
0001 0001 0001 0001
0002 0002 0002 0002
0003 0003 0003 0003
0004 0004 0004 0004
0005 0005 0005 0005
0809 12FF FFFF 0005 101 1
% Packet number 5 ended at time 908800 ps

@147
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0067 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 6 ended at time 1024000 ps

@167
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0068 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 7 ended at time 1152000 ps

@186
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0168 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 8 ended at time 1273600 ps

@206
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0269 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 9 ended at time 1401600 ps

@256
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0061 C0A8
001E A192 0002 000C
0000 1000 0001 000C 100 1
% Packet number 10 ended at time 1708800 ps

