@3
0001 0800 0604 0001
A3C2 C700 1232 C0A8
0003 0123 4567 89AB
C0A8 001E 0000 0000 100 1
% Packet number 1 ended at time 70400 ps

@21
0001 0800 0604 0001
A3C2 C700 1232 C0A8
0003 0123 4567 89AB
C0A8 001E 0000 0000 100 0
% Packet number 2 ended at time 185600 ps

@33
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0063 C0A8
001E A191 0001 0044
0000 0809 1011 1213
1234 1234 1234 1234
2345 2345 2345 2345
3456 3456 3456 3456
4567 4567 4567 4567
5678 5678 5678 5678
6789 6789 6789 6789
7890 7890 7890 4500 100 1
% Packet number 3 ended at time 339200 ps

@51
0001 0800 0604 0001
A3C2 C700 1232 C0A8
0603 0123 4567 89AB
C0A8 001E 0000 0000 100 0
% Packet number 4 ended at time 377600 ps

@61
0001 0800 0604 0001
A3C2 C700 1232 C0A8
0003 0123 4567 89AB
C0A8 001E 0000 0000 100 1
% Packet number 5 ended at time 441600 ps

@88
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0061 C0A8
001E A192 0001 000C
0000 1000 0001 000C 100 1
% Packet number 6 ended at time 627200 ps

@107
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0066 C0A8
001E A192 0002 000C
0000 1000 0001 0000
0000 0000 0000 0000
0000 0000 FC52 0000 100 0
% Packet number 7 ended at time 761600 ps

@127
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 8D4C 5E60 C0A8
001E A19F 0001 0035
0000 0809 1011 1213
0001 0001 0001 0001
0002 0002 0002 0002
0003 0003 0003 0003
0004 0004 0004 0004
0005 0005 0005 0005
0809 12FF FFFF 0005 101 1
% Packet number 8 ended at time 915200 ps

@148
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0067 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 9 ended at time 1030400 ps

@168
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0068 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 10 ended at time 1158400 ps

@187
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0168 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 11 ended at time 1280000 ps

@207
ABCD EF01 2345 0022
8F02 41EE 0800 4500
003C 2F46 0000 8001
0000 C0A8 0269 C0A8
001E 0800 4D53 0001
0008 6162 6364 6566
6768 696A 6B6C 6D6E
6F70 7172 7374 7576
7761 6263 6465 6667 000 1
% Packet number 12 ended at time 1408000 ps

@257
ABCD EF01 2345 0022
8F02 41EE 0800 4500
001D 093C 4000 8011
0000 C0A8 0061 C0A8
001E A192 0002 000C
0000 1000 0001 000C 100 1
% Packet number 13 ended at time 1715200 ps

