% comments:
% any line started with '%' - flag can be specified as generic in file_reader_hex
anything less than
length of a line
containing data
is also considered
as a comment

% interpreter ignores empty lines as well

% "@" is used to indicate counters for transmission start
% flag can be specified as generic in AV_ST_sender
% must be decimal numbers in increasing order!

% first we establish a connection from A3:C2:C7:00:12:32/C0.A8.03.61 (192.168.3.97)
% starting with an ARP request and a ping.

% DHCP Offer (35*8+6 bytes long = 286 = x11E)
@ 100
% Ethernet header
% DST MAC, SCR MAC
0022 8F02 41EE 0123
% ....... protocol, IP header
4567 89AB 0800 4500
% IP header (continued)
0133 093C 4000 8011
% ............ UDP header
0000 C0A8 0101 FFFF
% SRC DST length CRC
FFFF 0043 0044 011F
% ............ DHCP header
0000 0201 0600 DEAD
% XID SECS FLAGS
BEEF 0000 0000 0000
% CIADDR YIADDR
0000 C0A8 001D C0A8
% SIADDR GIADDR
0101 0000 0000 0022
% CHADDR(1)
8F02 41EE 0000 0000
% CHADDR(2)
0000 0000 0000 0000
% SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% ............ MAGIC_COOKIE
0000 0000 0000 6382
% .. DHCP offer (3 + 1)
5363 3501 0200 0104
% More DHCP options:
% IP subnet mask (6) & Router IP (6)
FFFF 0000 0304 C0A8
% IP lease time (6)
0101 3304 0001 5180
% DHCP server (6)
3604 C0A8 0101 0608
% DNS server (10)
0102 0304 0102 0305
FFBA DBAD BADD 0000 111 0

% DHCP Acknowledge
@ 300
% Ethernet header
% DST MAC, SCR MAC
0022 8F02 41EE 0123
% ....... protocol, IP header
4567 89AB 0800 4500
% IP header (continued)
001D 093C 4000 8011
% ............ UDP header
0000 C0A8 0101 FFFF
% SRC DST length CRC
FFFF 0043 0044 011F
0000 0201 0600 DEAD
% DHCP-header XID SECS FLAGS
BEEF 0000 0000 0000
% CIADDR YIADDR
0000 C0A8 001D C0A8
% SIADDR GIADDR
0101 0000 0000 0022
% CHADDR(1)
8F02 41EE 0000 0000
% CHADDR(2)
0000 0000 0000 0000
% SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 6382
% MAGIC_COOKIE DHCP ackn (3 + 1)
5363 3501 0500 0104
% More DHCP options:
% IP subnet mask (6) & Router IP (6)
FFFF 0000 0304 C0A8
% IP lease time (6)
0101 3304 0000 0050
% DHCP server (6)
3604 C0A8 0101 0608
% DNS server (10)
0102 0304 0102 0305
FFBA DBAD BADD BADD 111 0

% ARP reply to just (DHCP) offered IP address faking it's use by some other device
@ 425
0022 8F02 41EE 1234
5678 9ABC 0806 0001
0800 0604 0002 1234
5678 90AB C0A8 001D
0022 8F02 41EE 0000
0000 0000 0000 0000 110 0

@ 478
% ARP reply from DHCP server on its IP address
0022 8F02 41EE 0123
4567 89AB 0806 0001
0800 0604 0002 0123
4567 89AB C0A8 0101
0022 8F02 41EE 0000
0000 0000 0000 0000 110 0

% 2nd DHCP Offer (after having declined the 1st)
@ 1100
% Ethernet header
% DST MAC, SCR MAC
0022 8F02 41EE 0123
% ....... protocol, IP header
4567 89AB 0800 4500
% IP header (continued)
0133 093C 4000 8011
% ............ UDP header
0000 C0A8 0101 FFFF
% SRC DST length CRC
FFFF 0043 0044 011F
% ............ DHCP header
0000 0201 0600 DEAD
% XID SECS FLAGS
BEF0 0000 0000 0000
% CIADDR YIADDR
0000 C0A8 001E C0A8
% SIADDR GIADDR
0101 0000 0000 0022
% CHADDR(1)
8F02 41EE 0000 0000
% CHADDR(2)
0000 0000 0000 0000
% SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% ............ MAGIC_COOKIE
0000 0000 0000 6382
% .. DHCP offer (3 + 1)
5363 3501 0200 0104
% More DHCP options:
% IP subnet mask (6) & Router IP (6)
FFFF 0000 0304 C0A8
% IP lease time (6)
0101 3304 0001 5180
% DHCP server (6)
3604 C0A8 0101 0608
% DNS server (10)
0102 0304 0102 0305
FFBA DBAD BADD 0000 111 0

% DHCP Acknowledge
@ 1300
% Ethernet header
% DST MAC, SCR MAC
0022 8F02 41EE 0123
% ....... protocol, IP header
4567 89AB 0800 4500
% IP header (continued)
001D 093C 4000 8011
% ............ UDP header
0000 C0A8 0101 FFFF
% SRC DST length CRC
FFFF 0043 0044 011F
0000 0201 0600 DEAD
% DHCP-header XID SECS FLAGS
BEF0 0000 0000 0000
% CIADDR YIADDR
0000 C0A8 001E C0A8
% SIADDR GIADDR
0101 0000 0000 0022
% CHADDR(1)
8F02 41EE 0000 0000
% CHADDR(2)
0000 0000 0000 0000
% SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
